bedfile	batch_vec
GSM3476050_KZ1353_GB2014_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476051_KZ1353_GB2015_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476052_KZ1353_GB2016_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476053_KZ1353_GB2017_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476054_KZ1353_GB2018_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476055_KZ1353_GB2019_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476056_KZ1353_GB2020_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476057_KZ1353_GB2021_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476058_KZ1353_GB2022_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476059_KZ1353_GB2023_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476060_KZ1353_GB2024_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476063_KZ1353_GB2027_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476064_KZ1353_GB2028_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476065_KZ1353_GB2173_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476066_KZ1353_GB2174_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476067_KZ1353_GB2175_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476068_KZ1353_GB2176_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476069_KZ1353_GB2177_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476070_KZ1353_GB2178_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476071_KZ1353_GB2179_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476072_KZ1353_GB2180_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476073_KZ1356_GB2029_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476074_KZ1356_GB2030_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476075_KZ1356_GB2031_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476077_KZ1356_GB2033_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476078_KZ1356_GB2034_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476079_KZ1356_GB2035_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476080_KZ1356_GB2036_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476081_KZ1356_GB2037_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476082_KZ1356_GB2038_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476083_KZ1356_GB2039_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476084_KZ1356_GB2040_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476085_KZ1356_GB2041_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476086_KZ1356_GB2042_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476087_KZ1356_GB2043_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476088_KZ1356_GB2044_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476089_KZ1356_GB2045_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476090_KZ1356_GB2046_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476091_KZ1356_GB2047_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476092_KZ1356_GB2048_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476093_KZ1356_GB2049_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476094_KZ1356_GB2050_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476095_KZ1356_GB2051_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476096_KZ1356_GB2052_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476097_KZ1356_GB2053_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476098_KZ1356_GB2054_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476099_KZ1356_GB2055_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476100_KZ1356_GB2056_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476101_KZ1356_GB2057_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476102_KZ1356_GB2058_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476103_KZ1356_GB2059_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476104_KZ1356_GB2060_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476106_KZ1356_GB2062_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476107_KZ1356_GB2063_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476108_KZ1356_GB2064_sc1_0_30_mapq10_noDup_filtered.txt	8
GSM3476110_KZ1437_GB3807_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476111_KZ1437_GB3808_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476112_KZ1437_GB3809_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476113_KZ1437_GB3810_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476114_KZ1437_GB3812_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476115_KZ1437_GB3813_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476117_KZ1437_GB3815_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476118_KZ1437_GB3816_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476119_KZ1437_GB3817_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476120_KZ1437_GB3818_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476121_KZ1437_GB3819_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476124_KZ1437_GB3822_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476125_KZ1437_GB3823_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476127_KZ1437_GB3825_sc1_0_30_mapq10_noDup_filtered.txt	9
GSM3476128_KZ1438_GB3826_sc1_0_30_mapq10_noDup_filtered.txt	10
