"KZ1279_GB1420_0_0_mapq10_noDup.bed" "KZ1279_GB1422_0_0_mapq10_noDup.bed" "KZ1279_GB1424_0_0_mapq10_noDup.bed"
"1260" 18 2 0
"1261" 195 5 1
"1262" 24 4 1
"1263" 13 6 1
"1264" 101 12 14
"1265" 134 19 17
"1266" 12 1 1
"1267" 107 17 5
"1268" 6 2 0
"1269" 8 2 0
"1270" 15 4 1
"1271" 395 39 30
"1272" 68 6 4
"1273" 25 1 0
"1274" 142 12 4
"1275" 3 1 1
"1276" 186 17 18
"1277" 13 5 1
"1278" 227 25 12
"1279" 5 1 0
"1280" 61 12 4
"1281" 149 18 22
"1282" 8 4 3
"1283" 15 2 1
"1284" 27 6 2
"1285" 155 29 24
"1286" 191 46 23
"1287" 55 5 10
"1288" 29 6 3
"1289" 69 10 13
"1290" 21 29 0
"1291" 19 6 1
"1292" 10 1 0
"1293" 77 12 10
"1294" 122 45 18
"1295" 81 15 2
"1296" 14 8 2
"1297" 145 28 14
"1298" 25 6 2
"1299" 123 22 7
"1300" 7 1 0
"1301" 3 3 2
"1302" 28 8 10
"1303" 3 7 5
"1304" 13 3 0
"1305" 47 23 6
"1306" 14 4 4
"1307" 154 43 30
"1308" 9 5 7
"1309" 27 8 6
"1310" 34 9 3
"1311" 91 26 9
"1312" 129 32 11
"1313" 5 3 0
"1314" 18 10 0
"1315" 134 21 8
"1316" 28 25 9
"1317" 46 12 2
"1318" 130 41 14
"1319" 40 11 11
"1320" 137 30 10
"1321" 16 6 1
"1322" 13 5 1
"1323" 102 26 7
"1324" 27 23 8
"1325" 224 45 22
"1326" 110 14 8
"1327" 108 37 7
"1328" 31 8 1
"1329" 169 36 15
"1330" 9 2 2
"1331" 5 2 1
"1332" 3 3 1
