"KZ730-GA6909_0_0_mapq10_noDup.bed" "Lit_ESC_H3K4me3_0_0_mapq10_noDup.bed" "Lit_naive_H3K4me3_0_0_mapq10_noDup.bed"
"820" 742 31 5
"821" 737 48 50
"822" 151 2 2
"823" 591 31 10
"824" 642 54 68
"825" 750 117 124
"826" 7 39 1
"827" 14 18 6
"828" 565 106 102
"829" 565 32 39
"830" 414 100 49
"831" 1904 255 421
"832" 10 0 20
"833" 6 34 28
"834" 67 2 0
"835" 16 0 43
"836" 29 48 28
"837" 86 3 2
"838" 69 1 3
"839" 110 2 8
"840" 86 3 1
"841" 8 95 11
"842" 77 0 0
"843" 187 0 1
"844" 435 116 60
"845" 638 94 68
"846" 9 32 4
"847" 7 50 1
"848" 14 1 125
"849" 66 1 2
"850" 104 12 49
"851" 88 1 6
"852" 353 4 3
"853" 89 1 1
"854" 62 0 2
"855" 19 5 87
"856" 14 7 59
"857" 1008 110 611
"858" 72 15 43
"859" 358 15 81
"860" 151 4 3
"861" 64 1 2
"862" 4 18 2
"863" 56 0 0
"864" 2 12 0
"865" 605 116 86
"866" 667 114 120
"867" 670 94 63
"868" 617 62 60
"869" 520 99 150
"870" 213 54 47
"871" 810 271 68
"872" 3 24 3
"873" 10 22 14
"874" 1107 3 7
"875" 116 0 2
"876" 71 0 4
"877" 148 4 1
"878" 431 61 101
"879" 318 56 74
"880" 92 0 4
"881" 175 9 214
"882" 894 160 91
"883" 29 48 7
"884" 598 57 101
"885" 714 152 154
"886" 145 1 3
"887" 74 2 1
"888" 54 0 6
"889" 556 22 5
"890" 674 121 102
"891" 144 4 0
"892" 5 32 24
"893" 2 29 9
"894" 1342 67 7
"895" 150 2 1
"896" 124 6 4
"897" 0 24 1
"898" 463 43 69
"899" 1665 246 19
"900" 70 0 3
"901" 74 1 2
"902" 6 4 21
"903" 9 19 12
"904" 149 4 2
"905" 76 1 4
"906" 493 52 97
"907" 6 22 1
"908" 65 2 8
"909" 74 39 531
"910" 124 22 58
"911" 10 26 6
"912" 63 0 4
"913" 112 3 0
"914" 378 42 47
"915" 9 42 7
"916" 1158 93 122
"917" 122 2 1
"918" 299 42 75
"919" 314 68 18
"920" 2 2 34
"921" 3 1 49
"922" 92 0 1
"923" 1506 117 162
"924" 5 4 32
"925" 222 8 36
"926" 277 33 13
"927" 10 15 4
"928" 9 39 2
"929" 27 36 4
"930" 82 1 1
"931" 75 2 1
"932" 119 2 4
"933" 9 1 59
"934" 894 1 144
"935" 4 2 33
"936" 10 1 32
"937" 57 3 577
"938" 19 1 40
"939" 54 3 4
"940" 118 2 5
"941" 142 1 1
"942" 155 2 7
"943" 965 80 155
"944" 6 1 37
"945" 2 0 18
"946" 1039 10 25
"947" 89 7 12
"948" 88 3 5
"949" 703 62 127
"950" 103 1 2
"951" 76 0 5
"952" 654 84 123
"953" 541 124 45
"954" 2 40 0
"955" 65 0 0
"956" 720 98 77
"957" 444 38 66
"958" 1140 163 116
"959" 73 0 5
"960" 1497 21 197
"961" 88 3 2
"962" 7 0 24
"963" 82 0 3
"964" 149 0 0
"965" 99 0 2
"966" 97 1 3
"967" 1071 5 23
"968" 77 1 0
"969" 1994 9 12
"970" 140 2 4
"971" 959 2 17
"972" 967 145 173
"973" 120 6 3
"974" 28 3 28
"975" 70 1 2
"976" 17 0 35
"977" 61 3 27
"978" 3 0 53
"979" 991 79 140
"980" 1185 126 177
"981" 773 138 101
"982" 4 13 21
"983" 170 2 2
"984" 296 4 6
"985" 738 90 151
"986" 846 86 82
"987" 347 58 48
"988" 5 16 3
"989" 873 17 45
"990" 815 104 115
"991" 95 0 2
"992" 1131 187 118
"993" 538 18 10
"994" 103 2 3
"995" 1 14 3
"996" 95 0 3
"997" 88 0 4
"998" 1323 175 39
"999" 57 2 1
"1000" 12 1 52
"1001" 5 7 24
"1002" 1050 306 135
"1003" 7 21 9
"1004" 78 1 0
"1005" 739 20 15
"1006" 112 3 82
"1007" 266 1 114
"1008" 87 1 2
"1009" 703 134 125
"1010" 7 3 43
"1011" 39 1 64
"1012" 259 4 21
"1013" 5 1 19
"1014" 287 28 22
"1015" 1736 99 251
"1016" 409 2 3
"1017" 580 3 117
"1018" 606 76 75
"1019" 14 8 42
"1020" 189 37 2
"1021" 545 63 52
"1022" 692 85 76
"1023" 22 29 40
"1024" 1324 64 129
"1025" 757 104 164
"1026" 1036 120 227
"1027" 486 44 48
"1028" 4 21 1
"1029" 16 39 13
"1030" 172 26 23
"1031" 585 33 58
"1032" 567 136 44
"1033" 704 12 49
"1034" 853 34 150
"1035" 120 1 1
"1036" 603 87 71
"1037" 71 2 0
"1038" 30 171 77
"1039" 7 3 25
"1040" 0 1 35
"1041" 68 6 1
"1042" 59 1 1
"1043" 138 4 3
"1044" 798 125 35
"1045" 380 1 1
"1046" 77 1 3
"1047" 802 69 105
"1048" 395 2 4
"1049" 67 0 1
"1050" 89 0 4
"1051" 12 1 30
"1052" 452 11 469
"1053" 155 0 0
"1054" 455 82 82
"1055" 1318 219 182
"1056" 8 4 60
"1057" 7 1 101
"1058" 3 6 30
"1059" 100 2 5
"1060" 750 67 78
"1061" 795 101 95
"1062" 1738 261 241
"1063" 997 132 140
"1064" 564 55 118
"1065" 91 4 4
"1066" 142 6 18
"1067" 1457 53 162
"1068" 146 3 41
"1069" 13 3 47
"1070" 1012 98 164
"1071" 108 2 1
"1072" 110 1 4
"1073" 413 28 86
"1074" 106 2 1
"1075" 384 2 7
"1076" 264 2 1
"1077" 129 0 2
"1078" 188 1 4
"1079" 94 1 12
"1080" 1872 6 7
"1081" 156 1 1
"1082" 62 0 1
"1083" 5 14 2
"1084" 619 46 73
"1085" 897 84 112
"1086" 67 2 3
"1087" 1113 166 177
"1088" 69 0 0
"1089" 137 0 0
"1090" 79 0 4
"1091" 3753 38 22
"1092" 102 0 3
"1093" 830 13 5
"1094" 1020 55 71
"1095" 94 0 0
"1096" 93 0 1
"1097" 139 0 3
"1098" 463 18 21
"1099" 691 128 91
"1100" 630 76 170
"1101" 71 1 301
"1102" 25 2 30
"1103" 0 1 17
"1104" 67 1 4
"1105" 10 2 42
"1106" 1202 155 141
"1107" 117 9 10
"1108" 713 108 110
"1109" 4 35 1
"1110" 23 12 44
"1111" 38 166 142
"1112" 8 13 50
"1113" 94 2 1
"1114" 173 1 3
"1115" 69 2 4
"1116" 64 4 23
"1117" 31 1 24
"1118" 91 0 1
"1119" 5 50 82
"1120" 673 110 196
"1121" 79 1 5
"1122" 761 37 3
"1123" 97 3 2
"1124" 1181 151 206
"1125" 126 0 1
"1126" 580 76 28
"1127" 1029 118 88
"1128" 41 7 58
"1129" 107 29 344
"1130" 7 2 23
"1131" 656 42 111
"1132" 139 6 39
"1133" 35 3 671
"1134" 20 3 27
"1135" 24 2 31
"1136" 8 4 63
"1137" 37 5 219
"1138" 935 188 111
"1139" 65 4 2
"1140" 15 6 135
"1141" 17 26 2
"1142" 45 37 4
"1143" 120 2 3
"1144" 717 33 90
"1145" 177 1 1
"1146" 7 74 9
"1147" 68 1 3
"1148" 119 6 13
"1149" 1042 234 70
"1150" 148 6 8
"1151" 737 117 103
"1152" 493 46 77
"1153" 731 76 79
"1154" 70 1 3
"1155" 70 1 1
"1156" 2 19 1
"1157" 115 1 0
"1158" 161 1 3
"1159" 1417 24 18
"1160" 78 0 2
"1161" 124 1 2
"1162" 337 70 38
"1163" 83 0 1
"1164" 84 0 2
"1165" 627 36 72
"1166" 1318 4 6
"1167" 678 67 88
"1168" 554 100 65
"1169" 22 37 7
"1170" 12 42 4
"1171" 634 16 6
"1172" 122 1 2
"1173" 87 1 1
"1174" 980 128 78
"1175" 552 89 78
"1176" 86 0 2
"1177" 124 1 59
"1178" 76 1 1
"1179" 78 0 3
"1180" 1460 120 160
"1181" 440 16 106
"1182" 9 13 3
"1183" 13 35 7
"1184" 65 1 3
"1185" 18 17 4
"1186" 629 82 85
"1187" 707 66 120
"1188" 47 0 1
"1189" 669 107 79
"1190" 310 49 70
"1191" 921 66 102
"1192" 107 0 8
"1193" 467 63 101
"1194" 595 78 105
"1195" 374 89 36
"1196" 570 89 111
"1197" 2 44 2
"1198" 1038 132 99
"1199" 761 188 154
"1200" 4 27 34
