Distance from Center (cmd=annotatePeaks.pl tss mm9 -size 10000 -hist 20 -len 1 -d 3T3_ChIP_bulk )	3T3_ChIP_bulk Coverage	3T3_ChIP_bulk + Tags	3T3_ChIP_bulk - Tags
220	237.0073378	0.052450919	0.060455756
240	240.1816502	0.053896538	0.060561338
260	236.4446135	0.054086015	0.058510191
280	232.1425698	0.05381835	0.056760952
300	225.658115	0.05269975	0.054742907
320	221.9290684	0.051579438	0.0541545
340	219.0823459	0.050279351	0.054080878
360	218.7912817	0.049491195	0.054720078
380	219.6930101	0.049184721	0.055283373
400	220.8755299	0.048828595	0.05630381
420	220.0902272	0.048740706	0.056100636
440	218.5139146	0.047999348	0.056029297
460	212.4963039	0.046779161	0.054367377
480	207.082509	0.045486493	0.053176296
500	203.3603109	0.044680074	0.052146157
520	198.3540059	0.043611126	0.050820388
540	196.0574519	0.042813838	0.050539026
560	192.7781281	0.041642162	0.050105283
580	189.0136971	0.040606887	0.04939132
600	187.2947059	0.040106941	0.049145342
620	182.3934123	0.038601397	0.048231628
640	177.2592673	0.037544434	0.046926976
660	172.4435808	0.036676378	0.045274187
680	169.0250027	0.035634824	0.044833596
700	163.582672	0.034769051	0.043115746
720	158.7966627	0.033337129	0.042336721
740	153.4536363	0.032021062	0.040949886
760	150.3421024	0.031297967	0.040403712
780	146.8938472	0.030792885	0.039262855
800	142.2139907	0.02956585	0.038093461
820	139.4802696	0.028883275	0.037501631
840	135.9247201	0.028340526	0.036380748
860	129.9744537	0.027151728	0.034696
880	126.4542885	0.026512529	0.033738341
900	121.7093706	0.025363681	0.032588352
920	118.5875639	0.024629172	0.031841858
940	114.7477987	0.023726872	0.030927574
960	112.3302533	0.023111643	0.030425345
980	108.969888	0.022469018	0.02944657
1000	105.6232199	0.021611235	0.028700076
1020	102.4146646	0.021107865	0.027621997
1040	98.45733232	0.020582237	0.026400098
1060	95.55125557	0.019943608	0.025541173
1080	92.61778454	0.019211952	0.024928797
1100	89.78247636	0.018638955	0.024111534
1120	87.27133384	0.018198364	0.023321095
1140	85.19735841	0.01772353	0.0228377
1160	82.51728449	0.017105446	0.022163686
1180	79.75160344	0.016635178	0.021345282
1200	77.37857376	0.015986276	0.020847049
1220	74.9621698	0.015582781	0.020092564
1240	72.89846722	0.015192983	0.019541254
1260	70.87243179	0.014691896	0.019062996
1280	67.97320361	0.01409607	0.018287395
1300	67.00184803	0.014109767	0.017765192
1320	65.10365257	0.01371198	0.017237852
1340	63.20317426	0.013205756	0.016824655
1360	60.47516034	0.012639608	0.016195157
1380	59.38395478	0.012515192	0.015740298
1400	57.18213936	0.012155071	0.015067426
1420	55.71312099	0.011594059	0.01489507
1440	54.77600826	0.011464507	0.014655941
1460	52.99652136	0.011245923	0.01398421
1480	51.94298293	0.010978259	0.013742227
1500	50.47738885	0.010719154	0.013249701
1520	49.51288183	0.010509131	0.013071638
1540	48.04842918	0.010199804	0.01264931
1560	47.01429503	0.010174122	0.012238395
1580	45.43912382	0.009673606	0.011965594
1600	44.3296554	0.009520084	0.011622024
1620	43.6105555	0.009335743	0.011433118
1640	42.97934558	0.009146837	0.011309843
1660	41.36764866	0.008799272	0.010836151
