name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
ENSG00000171532_LINE264_NEUROD2_D	NEUROD2	0.92379430976522	0.753364309658943	1.04529129403312	0.730773785083152	1
ENSG00000171786_LINE269_NHLH1_D_N3	NHLH1	0.538229621286056	0.392873532802533	0.657900852740224	0.999996877553545	1
ENSG00000171786_LINE267_NHLH1_D_N3	NHLH1	0.619741655549045	0.495786337282243	0.715033641717457	0.999849073582262	1
ENSG00000172201_LINE271_ID4_D	ID4	0.467154757349915	0.356467225761999	0.561250032875686	0.999999958576284	1
ENSG00000172379_LINE273_ARNT2_D	ARNT2	0.489470526404433	0.376390399440879	0.589475344992884	0.999999820770352	1
ENSG00000174576_LINE275_NPAS4_I	NPAS4	0.569457027979602	0.417928992852086	0.664792723049606	0.99998440234678	1
ENSG00000175727_LINE276_MLXIP_I	MLXIP	0.499721221942436	0.350920079419104	0.631528285681808	0.99999966062953	1
ENSG00000177468_LINE279_OLIG3_D	OLIG3	0.928197152470278	0.794903477234113	1.03667404007427	0.717280283034003	1
ENSG00000177551_LINE280_NHLH2_I	NHLH2	0.668930412561589	0.541628802100844	0.777476811105957	0.999011525481026	1
ENSG00000178403_LINE282_NEUROG2_D_N2	NEUROG2	0.674952601052232	0.520055978939558	0.789544289860089	0.998781886788239	1
ENSG00000178860_LINE283_MSC_D	MSC	0.530374859124885	0.436218850939479	0.613449866040259	0.999997970240639	1
ENSG00000179111_LINE284_HES7_D	HES7	0.676708147742033	0.537395920037076	0.796062419437519	0.998706479673006	1
ENSG00000179774_LINE285_ATOH7_I	ATOH7	0.688360098881113	0.542427281805136	0.808688941361091	0.998090851770728	1
ENSG00000180535_LINE286_BHLHA15_D	BHLHA15	0.880541273972982	0.728440957455575	0.999833199039702	0.845062540290565	1
ENSG00000180828_LINE287_BHLHE22_D	BHLHE22	0.59448123419889	0.46189330130461	0.682194308172813	0.99994942142566	1
ENSG00000181965_LINE288_NEUROG1_I	NEUROG1	0.645912270153638	0.523402142990723	0.738309490544639	0.999573331511893	1
ENSG00000183733_LINE289_FIGLA_D	FIGLA	0.532641842392836	0.38701693007481	0.688753895644184	0.999997699009479	1
ENSG00000183734_LINE290_ASCL2_I	ASCL2	0.658295209460488	0.522187286762278	0.7748519007295	0.999323922570716	1
